Topic,Word,Weight
-1,argument,0.01938252480175443
-1,central,0.019130074097380184
-1,paper,0.019046190643058264
-1,central argument,0.01888199848911208
-1,agent,0.0171167736608611
-1,think,0.016990257701154098
-1,agents,0.01685437992756585
-1,abstract,0.016176148581097734
-1,using,0.012651304371817718
-1,team,0.012478164210418584
-1,need,0.0116736465958269
-1,based,0.011266597033121667
-1,multi,0.010126223288012768
-1,extract,0.009720619628796244
-1,teams,0.009625433369304904
0,ai,0.033901812742712506
0,human,0.024968566854455688
0,argument,0.019603594100962178
0,central,0.019564017409192842
0,central argument,0.01940496889364212
0,paper,0.016927753919847712
0,think,0.01659834272357851
0,abstract,0.01545570390385471
0,agents,0.012727859117870456
0,humans,0.011853878533358893
0,need,0.011271625796221376
0,trust,0.010374971629852289
0,like,0.010136363510996898
0,argument paper,0.009872272198733689
0,central argument paper,0.009865625030652836
1,learning,0.0347920492395069
1,agents,0.02145771090729665
1,agent,0.018729553279364895
1,paper,0.018268413145141358
1,reinforcement,0.01792844316468959
1,central,0.017507974870392295
1,argument,0.01745022731118689
1,central argument,0.017224347974590885
1,reinforcement learning,0.01665698475945306
1,think,0.015969348518377082
1,multi,0.014311980602210667
1,abstract,0.01424237446425526
1,using,0.013531486388688492
1,multi agent,0.012655287308557988
1,team,0.01078586151139395
2,soccer,0.03507438707616145
2,robocup,0.026011494059759062
2,team,0.02126895946138984
2,paper,0.01974700375913205
2,central,0.019351897992038326
2,argument,0.019322245981441756
2,central argument,0.01893554036786367
2,think,0.018422593470950762
2,abstract,0.0179925784509814
2,robot,0.016451342297905285
2,agent,0.015014779092540134
2,robots,0.014623988452798251
2,using,0.013387286498778087
2,need,0.01260596089805697
2,multi,0.012225956791804804
3,design,0.02442081292750813
3,agent,0.02103319186424474
3,paper,0.019495836598118623
3,argument,0.018680512661031188
3,central,0.018631079107021525
3,central argument,0.01855317257322924
3,based,0.017637671240215962
3,think,0.01683028752832818
3,agents,0.016667270444025113
3,abstract,0.015863866858883958
3,systems,0.013029226652843208
3,engineering,0.012948275831233192
3,teams,0.012807464427959086
3,agent based,0.012427260578827926
3,using,0.012101495864418305
4,abstract,0.02966595999013484
4,argument,0.029394891228191312
4,central,0.025615441855643264
4,central argument,0.02488414303317878
4,paper,0.019072817743906696
4,user,0.01801909548692061
4,think,0.016136064692014753
4,statement,0.014829297129796304
4,need,0.014473442241419332
4,main,0.013961019628969238
4,example,0.01336831394962232
4,topic,0.012225305536574207
4,extracted,0.012007072482837158
4,clustering,0.01181863624828066
4,extract,0.01154961988297334
5,paper,0.020615608201055773
5,central,0.019763924729568574
5,argument,0.01872159684571776
5,central argument,0.01840051967741514
5,think,0.017416943337852472
5,agents,0.017032108084981207
5,robots,0.016344339975572476
5,control,0.015153568081774543
5,abstract,0.015030427794939075
5,multi,0.014265651050542701
5,using,0.013839482669374993
5,agent,0.013610456856326674
5,communication,0.012595581525469222
5,need,0.011490221448319297
5,robot,0.011355599622732492
